,bmad_name,device_name,ele_key,s_position,x_position,y_position,z_position,theta_position,phi_position,psi_position
19,DL01A4,,Drift,0.61362,10.0969720271263,0.0,2018.41412807742,-0.610865238198015,0.0,0.0
20,YAG01,YAGS:IN20:211,Monitor,0.61362,10.0969720271263,0.0,2018.41412807742,-0.610865238198015,0.0,0.0
21,DL01A5,,Drift,0.62459,10.0906798936195,0.0,2018.42311417534,-0.610865238198015,0.0,0.0
22,FC01,FARC:IN20:212,Instrument,0.62459,10.0906798936195,0.0,2018.42311417534,-0.610865238198015,0.0,0.0
23,DL01B,,Drift,0.70709,10.0433598376205,0.0,2018.490694219,-0.610865238198015,0.0,0.0
24,IM01,TORO:IN20:215,Marker,0.70709,10.0433598376205,0.0,2018.490694219,-0.610865238198015,0.0,0.0
25,DL01C,,Drift,0.834385,9.97034642515523,0.0,2018.59496817847,-0.610865238198015,0.0,0.0
26,XC01,XCOR:IN20:221,Hkicker,0.834385,9.97034642515523,0.0,2018.59496817847,-0.610865238198015,0.0,0.0
27,YC01,YCOR:IN20:222,Vkicker,0.834385,9.97034642515523,0.0,2018.59496817847,-0.610865238198015,0.0,0.0
28,DL01H,,Drift,0.8925736,9.93697081533098,0.0,2018.64263348912,-0.610865238198015,0.0,0.0
29,BPM2,BPMS:IN20:221,Monitor,0.8925736,9.93697081533098,0.0,2018.64263348912,-0.610865238198015,0.0,0.0
30,DL01D,,Drift,0.9778443,9.88806155109982,0.0,2018.71248315734,-0.610865238198015,0.0,0.0
31,DBMARK81,,Marker,0.9778443,9.88806155109982,0.0,2018.71248315734,-0.610865238198015,0.0,0.0
32,ENDGUN,,Marker,0.9778443,9.88806155109982,0.0,2018.71248315734,-0.610865238198015,0.0,0.0
33,BEGL0,,Marker,0.9778443,9.88806155109982,0.0,2018.71248315734,-0.610865238198015,0.0,0.0
34,DBXG,,Drift,1.110462657755,9.81199478606398,0.0,2018.82111775621,-0.610865238198015,0.0,0.0
35,DL01E,,Drift,1.21666000000005,9.75108249294911,0.0,2018.9081095262,-0.610865238198015,0.0,0.0
36,BPM3,BPMS:IN20:235,Monitor,1.21666000000005,9.75108249294911,0.0,2018.9081095262,-0.610865238198015,0.0,0.0
37,DL01F,,Drift,1.35904000000005,9.66941667994145,0.0,2019.02474039427,-0.610865238198015,0.0,0.0
38,CR01,CRAD:IN20:237,Instrument,1.35904000000005,9.66941667994145,0.0,2019.02474039427,-0.610865238198015,0.0,0.0
39,DL01F2,,Drift,1.38841000000005,9.65257074000582,0.0,2019.04879888981,-0.610865238198015,0.0,0.0
40,YAG02,YAGS:IN20:241,Monitor,1.38841000000005,9.65257074000582,0.0,2019.04879888981,-0.610865238198015,0.0,0.0
41,DL01G,,Drift,1.45900000000005,9.6120819793638,0.0,2019.10662283262,-0.610865238198015,0.0,0.0
42,ZLIN00,,Marker,1.45900000000005,9.6120819793638,0.0,2019.10662283262,-0.610865238198015,0.0,0.0
43,L0A,,Lcavity,4.55424400000005,7.83672295620684,0.0,2021.64209828279,-0.610865238198015,0.0,0.0
44,DLFDA,,Marker,1.51764600000005,9.57844401567755,0.0,2019.15466282341,-0.610865238198015,0.0,0.0
45,SOL2,SOLN:IN20:311,Solenoid,1.71700000000005,9.46409925878523,0.0,2019.31796406004,-0.610865238198015,0.0,0.0
46,YC02,YCOR:IN20:312,Vkicker,2.36631980000005,9.09166472184905,0.0,2019.84985570161,-0.610865238198015,0.0,0.0
47,XC02,XCOR:IN20:311,Hkicker,2.36631980000005,9.09166472184905,0.0,2019.84985570161,-0.610865238198015,0.0,0.0
48,L0AMID,,Marker,3.00662200000005,8.72440246778532,0.0,2020.3743605577,-0.610865238198015,0.0,0.0
49,YC03,YCOR:IN20:342,Vkicker,4.15846840000005,8.06373051444954,0.0,2021.31789789097,-0.610865238198015,0.0,0.0
50,XC03,XCOR:IN20:341,Hkicker,4.15846840000005,8.06373051444954,0.0,2021.31789789097,-0.610865238198015,0.0,0.0
51,OUTCPA,,Marker,4.49332500000005,7.87166465913291,0.0,2021.59219635941,-0.610865238198015,0.0,0.0
52,L0AWAKE,,Marker,4.55424400000005,7.83672295620684,0.0,2021.64209828279,-0.610865238198015,0.0,0.0
53,L0BBEG,,Marker,4.55424400000005,7.83672295620684,0.0,2021.64209828279,-0.610865238198015,0.0,0.0
54,DL02A1,,Drift,4.61453860500005,7.80213939153975,0.0,2021.69148873174,-0.610865238198015,0.0,0.0
55,YAG03,YAGS:IN20:351,Monitor,4.61453860500005,7.80213939153975,0.0,2021.69148873174,-0.610865238198015,0.0,0.0
56,DL02A2,,Drift,4.72732360500005,7.73744857316589,0.0,2021.78387679505,-0.610865238198015,0.0,0.0
57,DL02A3,,Drift,4.80093360500005,7.69522761168609,0.0,2021.84417457703,-0.610865238198015,0.0,0.0
58,QA01,QUAD:IN20:361,Quadrupole,4.90893360500005,7.63328135656018,0.0,2021.93264299782,-0.610865238198015,0.0,0.0
59,DL02B1,,Drift,5.00341760500005,7.57908756054799,0.0,2022.01003975957,-0.610865238198015,0.0,0.0
60,PH01,PCAV:IN20:365,Instrument,5.00341760500005,7.57908756054799,0.0,2022.01003975957,-0.610865238198015,0.0,0.0
61,DL02B2,,Drift,5.12930960500005,7.50687887582288,0.0,2022.11316444873,-0.610865238198015,0.0,0.0
62,QA02,QUAD:IN20:371,Quadrupole,5.23730960500005,7.44493262069697,0.0,2022.20163286951,-0.610865238198015,0.0,0.0
63,BPM5,BPMS:IN20:371,Monitor,5.18330960500005,7.47590574825993,0.0,2022.15739865912,-0.610865238198015,0.0,0.0
64,DL02C,,Drift,5.30319760500005,7.40714081645867,0.0,2022.2556051594,-0.610865238198015,0.0,0.0
65,L0B,,Lcavity,8.39844160500005,5.63178179330171,0.0,2024.79108060958,-0.610865238198015,0.0,0.0
66,DLFDB,,Marker,5.36184360500005,7.37350285277243,0.0,2022.30364515019,-0.610865238198015,0.0,0.0
67,YC04,YCOR:IN20:382,Vkicker,5.69897170500005,7.18013411858063,0.0,2022.5798043225,-0.610865238198015,0.0,0.0
