,bmad_name,device_name,ele_key,s_position,x_position,y_position,z_position,theta_position,phi_position,psi_position
46,YC02,YCOR:IN20:312,Vkicker,2.36631980000005,9.09166472184905,0.0,2019.84985570161,-0.610865238198015,0.0,0.0
47,XC02,XCOR:IN20:311,Hkicker,2.36631980000005,9.09166472184905,0.0,2019.84985570161,-0.610865238198015,0.0,0.0
48,L0AMID,,Marker,3.00662200000005,8.72440246778532,0.0,2020.3743605577,-0.610865238198015,0.0,0.0
49,YC03,YCOR:IN20:342,Vkicker,4.15846840000005,8.06373051444954,0.0,2021.31789789097,-0.610865238198015,0.0,0.0
50,XC03,XCOR:IN20:341,Hkicker,4.15846840000005,8.06373051444954,0.0,2021.31789789097,-0.610865238198015,0.0,0.0
51,OUTCPA,,Marker,4.49332500000005,7.87166465913291,0.0,2021.59219635941,-0.610865238198015,0.0,0.0
52,L0AWAKE,,Marker,4.55424400000005,7.83672295620684,0.0,2021.64209828279,-0.610865238198015,0.0,0.0
53,L0BBEG,,Marker,4.55424400000005,7.83672295620684,0.0,2021.64209828279,-0.610865238198015,0.0,0.0
54,DL02A1,,Drift,4.61453860500005,7.80213939153975,0.0,2021.69148873174,-0.610865238198015,0.0,0.0
55,YAG03,YAGS:IN20:351,Monitor,4.61453860500005,7.80213939153975,0.0,2021.69148873174,-0.610865238198015,0.0,0.0
56,DL02A2,,Drift,4.72732360500005,7.73744857316589,0.0,2021.78387679505,-0.610865238198015,0.0,0.0
57,DL02A3,,Drift,4.80093360500005,7.69522761168609,0.0,2021.84417457703,-0.610865238198015,0.0,0.0
58,QA01,QUAD:IN20:361,Quadrupole,4.90893360500005,7.63328135656018,0.0,2021.93264299782,-0.610865238198015,0.0,0.0
59,DL02B1,,Drift,5.00341760500005,7.57908756054799,0.0,2022.01003975957,-0.610865238198015,0.0,0.0
60,PH01,PCAV:IN20:365,Instrument,5.00341760500005,7.57908756054799,0.0,2022.01003975957,-0.610865238198015,0.0,0.0
61,DL02B2,,Drift,5.12930960500005,7.50687887582288,0.0,2022.11316444873,-0.610865238198015,0.0,0.0
62,QA02,QUAD:IN20:371,Quadrupole,5.23730960500005,7.44493262069697,0.0,2022.20163286951,-0.610865238198015,0.0,0.0
63,BPM5,BPMS:IN20:371,Monitor,5.18330960500005,7.47590574825993,0.0,2022.15739865912,-0.610865238198015,0.0,0.0
64,DL02C,,Drift,5.30319760500005,7.40714081645867,0.0,2022.2556051594,-0.610865238198015,0.0,0.0
65,L0B,,Lcavity,8.39844160500005,5.63178179330171,0.0,2024.79108060958,-0.610865238198015,0.0,0.0
66,DLFDB,,Marker,5.36184360500005,7.37350285277243,0.0,2022.30364515019,-0.610865238198015,0.0,0.0
67,YC04,YCOR:IN20:382,Vkicker,5.69897170500005,7.18013411858063,0.0,2022.5798043225,-0.610865238198015,0.0,0.0
68,XC04,XCOR:IN20:381,Hkicker,5.69897170500005,7.18013411858063,0.0,2022.5798043225,-0.610865238198015,0.0,0.0
69,L0BMID,,Marker,6.85081960500005,6.51946130488019,0.0,2023.52334288449,-0.610865238198015,0.0,0.0
70,YC05,YCOR:IN20:412,Vkicker,8.00238260500005,5.85895190310647,0.0,2024.46664807007,-0.610865238198015,0.0,0.0
71,XC05,XCOR:IN20:411,Hkicker,8.00238260500005,5.85895190310647,0.0,2024.46664807007,-0.610865238198015,0.0,0.0
72,OUTCPB,,Marker,8.33752260500005,5.66672349622778,0.0,2024.74117868619,-0.610865238198015,0.0,0.0
73,ENDL0,,Marker,8.39844160500005,5.63178179330171,0.0,2024.79108060958,-0.610865238198015,0.0,0.0
74,BEGDL1_1,,Marker,8.39844160500005,5.63178179330171,0.0,2024.79108060958,-0.610865238198015,0.0,0.0
75,EMAT,,Marker,8.39844160500005,5.63178179330171,0.0,2024.79108060958,-0.610865238198015,0.0,0.0
76,DE00,,Drift,8.42343560500005,5.61744582385156,0.0,2024.81155449577,-0.610865238198015,0.0,0.0
77,DE00A,,Drift,8.44004860500005,5.60791699851446,0.0,2024.82516306868,-0.610865238198015,0.0,0.0
78,QE01,QUAD:IN20:425,Quadrupole,8.54804860500005,5.54597074338854,0.0,2024.91363148947,-0.610865238198015,0.0,0.0
79,BPM6,BPMS:IN20:425,Monitor,8.49404860500005,5.5769438709515,0.0,2024.86939727908,-0.610865238198015,0.0,0.0
80,DE01A,,Drift,8.62442160500005,5.50216499021511,0.0,2024.97619258855,-0.610865238198015,0.0,0.0
81,IM02,TORO:IN20:431,Marker,8.62442160500005,5.50216499021511,0.0,2024.97619258855,-0.610865238198015,0.0,0.0
82,DE01B,,Drift,8.74678060500005,5.43198275103963,0.0,2025.07642321353,-0.610865238198015,0.0,0.0
83,VV02,,Marker,8.74678060500005,5.43198275103963,0.0,2025.07642321353,-0.610865238198015,0.0,0.0
84,DE01C,,Drift,8.84156160500005,5.37761860282584,0.0,2025.15406326344,-0.610865238198015,0.0,0.0
85,QE02,QUAD:IN20:441,Quadrupole,8.94956160500005,5.31567234769993,0.0,2025.24253168423,-0.610865238198015,0.0,0.0
86,DH00,,Drift,9.07689205500005,5.24263860194995,0.0,2025.34683468264,-0.610865238198015,0.0,0.0
87,LHBEG,,Marker,9.07689205500005,5.24263860194995,0.0,2025.34683468264,-0.610865238198015,0.0,0.0
88,BXH1,BEND:IN20:451,Sbend,9.20165245292955,5.17800617037321,0.0,2025.45344292568,-0.479155846584015,0.0,0.0
89,BXH2,BEND:IN20:461,Sbend,9.46824124793355,5.04798655725095,0.0,2025.68590747848,-0.610865238198016,0.0,0.0
90,DH02A,,Drift,9.52821144793355,5.01358906364769,0.0,2025.73503219041,-0.610865238198015,0.0,0.0
91,OTRH1,OTRS:IN20:465,Monitor,9.52821144793355,5.01358906364769,0.0,2025.73503219041,-0.610865238198015,0.0,0.0
92,DH03A,,Drift,9.60425119793355,4.96997445482166,0.0,2025.79732030707,-0.610865238198015,0.0,0.0
